username,repo_name,repo_url,stars
flutter,flutter,142000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,93800,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,66900,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,52000,https://github.com/Hack-with-Github/Awesome-Hacking
google,material-design-icons,46000,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,42900,https://github.com/wasabeef/awesome-android-ui
square,okhttp,42400,https://github.com/square/okhttp
Solido,awesome-flutter,41200,https://github.com/Solido/awesome-flutter
android,architecture-samples,41000,https://github.com/android/architecture-samples
square,retrofit,40100,https://github.com/square/retrofit
fastlane,fastlane,35500,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,35300,https://github.com/PhilJay/MPAndroidChart
airbnb,lottie-android,32900,https://github.com/airbnb/lottie-android
bumptech,glide,32700,https://github.com/bumptech/glide
shadowsocks,shadowsocks-android,32600,https://github.com/shadowsocks/shadowsocks-android
Blankj,AndroidUtilCode,31000,https://github.com/Blankj/AndroidUtilCode
Trinea,android-open-project,31000,https://github.com/Trinea/android-open-project
xitu,gold-miner,30900,https://github.com/xitu/gold-miner
skylot,jadx,30700,https://github.com/skylot/jadx
bilibili,ijkplayer,30500,https://github.com/bilibili/ijkplayer
laurent22,joplin,30300,https://github.com/laurent22/joplin
zxing,zxing,29700,https://github.com/zxing/zxing
codepath,android_guides,27800,https://github.com/codepath/android_guides
square,leakcanary,27600,https://github.com/square/leakcanary
alibaba,fastjson,24700,https://github.com/alibaba/fastjson
scwang90,SmartRefreshLayout,23600,https://github.com/scwang90/SmartRefreshLayout
appwrite,appwrite,23100,https://github.com/appwrite/appwrite
CymChad,BaseRecyclerViewAdapterHelper,22900,https://github.com/CymChad/BaseRecyclerViewAdapterHelper
react-native-elements,react-native-elements,22500,https://github.com/react-native-elements/react-native-elements
quasarframework,quasar,21500,https://github.com/quasarframework/quasar
